0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
DINAJPUR DAKSHIN,1.49%,69.35%,29.16%,57.99%,41.99%,0.03%,75.41%,24.50%,0.09%,72.98%,27.02%,0.72%,99.28%,97.17%,2.75%,0.09%
Jhargram,4.37%,60.45%,35.18%,8.50%,91.15%,0.35%,71.19%,19.83%,8.97%,66.47%,33.53%,0.35%,99.65%,99.53%,0.47%,0.00%
Alipurduar,0.19%,44.91%,54.90%,38.23%,47.55%,14.21%,22.78%,31.45%,45.77%,77.73%,22.27%,8.19%,91.81%,89.37%,8.31%,2.32%
NADIA,0.90%,40.39%,58.71%,43.97%,54.97%,1.06%,60.77%,33.30%,5.93%,38.14%,61.86%,10.42%,89.58%,15.21%,65.36%,19.44%
BIRBHUM,0.02%,48.00%,51.99%,0.12%,99.76%,0.12%,50.69%,47.11%,2.20%,55.22%,44.78%,1.34%,98.66%,98.33%,1.67%,0.01%
PURBA BARDHAMAN,0.98%,72.63%,26.39%,74.60%,25.14%,0.27%,64.20%,27.84%,7.96%,95.11%,4.89%,4.11%,95.89%,76.30%,20.20%,3.50%
MALDAH,0.00%,2.86%,97.14%,35.98%,57.90%,6.11%,0.67%,0.01%,99.32%,31.29%,68.71%,9.01%,90.99%,48.80%,22.50%,28.70%
24 PARAGANAS NORTH,0.19%,93.05%,6.76%,54.07%,45.70%,0.23%,90.02%,9.70%,0.28%,94.52%,5.48%,47.62%,52.38%,48.37%,46.97%,4.67%
PURULIA,3.40%,64.46%,32.14%,77.72%,22.24%,0.04%,99.38%,0.36%,0.26%,67.95%,32.05%,0.20%,99.80%,99.26%,0.51%,0.23%
HOOGHLY,2.38%,72.48%,25.14%,57.16%,42.80%,0.04%,82.74%,14.93%,2.34%,75.10%,24.90%,54.59%,45.41%,54.61%,43.20%,2.19%
MEDINIPUR EAST,3.46%,80.34%,16.20%,2.79%,91.62%,5.59%,42.79%,52.41%,4.80%,87.56%,12.44%,14.13%,85.87%,75.82%,22.01%,2.18%
JALPAIGURI,2.23%,85.29%,12.48%,0.05%,29.01%,70.94%,35.45%,51.34%,13.21%,99.44%,0.56%,3.23%,96.77%,96.77%,3.05%,0.17%
COOCHBEHAR,0.25%,39.81%,59.94%,50.03%,39.62%,10.35%,17.15%,29.35%,53.50%,67.77%,32.23%,11.85%,88.15%,92.79%,6.74%,0.47%
BANKURA,0.48%,80.64%,18.88%,5.69%,83.10%,11.21%,47.84%,29.34%,22.82%,82.67%,17.33%,0.30%,99.70%,83.80%,14.63%,1.57%
MEDINIPUR WEST,20.94%,45.51%,33.56%,17.90%,59.28%,22.82%,39.03%,29.59%,31.38%,52.87%,47.13%,8.18%,91.82%,84.06%,14.14%,1.81%
HOWRAH,0.03%,96.08%,3.88%,43.28%,56.72%,0.00%,84.20%,15.70%,0.10%,96.74%,3.26%,4.63%,95.37%,51.73%,42.10%,6.17%
KALIMPONG,0.97%,92.15%,6.88%,7.36%,91.24%,1.40%,0.32%,98.82%,0.86%,99.84%,0.16%,0.43%,99.57%,99.79%,0.00%,0.21%
DINAJPUR UTTAR,2.30%,49.71%,47.99%,58.26%,41.38%,0.36%,54.16%,45.67%,0.16%,53.41%,46.59%,1.35%,98.65%,97.53%,2.12%,0.35%
MURSHIDABAD,20.86%,58.13%,21.02%,23.43%,76.50%,0.07%,30.11%,66.72%,3.17%,58.95%,41.05%,11.28%,88.72%,11.89%,36.35%,51.75%
24 PARAGANAS SOUTH,5.35%,67.79%,26.86%,35.22%,42.28%,22.50%,86.26%,12.52%,1.21%,76.73%,23.27%,64.44%,35.56%,55.88%,35.74%,8.37%
DARJEELING,5.41%,82.04%,12.55%,2.51%,48.47%,49.01%,12.26%,75.89%,11.85%,99.62%,0.38%,0.73%,99.27%,99.29%,0.63%,0.08%
PASCHIM BARDHAMAN,0.06%,54.22%,45.72%,25.81%,70.76%,3.43%,57.71%,29.12%,13.17%,76.43%,23.57%,3.01%,96.99%,55.70%,31.90%,12.40%
